,date,open,high,low,close,volume
1051,2016/7/18,4461.92,4599,4461.51,4595.5,461850.3691
1052,2016/7/19,4596.92,4597,4482,4510.38,365919.4272
1053,2016/7/20,4510.38,4530,4420,4441.91,349058.4916
1054,2016/7/21,4441.91,4464.66,4400.93,4438.85,290901.4029
1055,2016/7/22,4439.34,4475.59,4340,4369.2,293295.4629
1056,2016/7/23,4369.29,4394.74,4321,4377.36,301203.1719
1057,2016/7/24,4377.35,4419,4352.11,4406,265920.151
1058,2016/7/25,4406.37,4442,4368,4391.68,301117.3302
1059,2016/7/26,4391.68,4405,4298,4342.33,263227.1644
1060,2016/7/27,4342.33,4386.52,4320,4377,296763.0148
1061,2016/7/28,4377,4415,4363,4388.26,274905.8155
1062,2016/7/29,4388.04,4403.65,4345,4381.71,246439.2127
1063,2016/7/30,4381.61,4385,4350,4370.4,152359.1997
1064,2016/7/31,4370.5,4379,4150,4202,354814.0244
1065,2016/8/1,4201.46,4212.9,4061,4141,468795.3241
1066,2016/8/2,4141,4141,3970,4003.44,626428.2831
1067,2016/8/3,4003.44,4043.45,3005,3622.8,1391623.696
1068,2016/8/4,3622.67,3805,3620,3717.63,801369.6504
1069,2016/8/5,3717.8,3787,3700,3772.47,394467.3835
1070,2016/8/6,3772.49,3783.16,3720,3754.06,205805.1625
1071,2016/8/7,3754.06,3953.89,3747.94,3931.03,510306.7308
1072,2016/8/8,3931.03,3948,3831.01,3912.17,418634.6342
1073,2016/8/9,3912,3935,3844.24,3905.06,335552.3757
1074,2016/8/10,3905.06,3994.34,3871,3975.2,370298.0026
1075,2016/8/11,3975.85,3987,3936.71,3952.2,292598.4595
1076,2016/8/12,3952.33,3952.65,3857.67,3915.9,354428.5586
1077,2016/8/13,3915.9,3932,3872,3906.67,210001.4509
1078,2016/8/14,3906.67,3921.1,3790.01,3812.91,297628.4397
1079,2016/8/15,3812.06,3838,3734.68,3751.4,327585.0675
1080,2016/8/16,3751.4,3856,3727.17,3850.03,299176.0029
1081,2016/8/17,3850.07,3875,3806.2,3814.88,226547.3303
1082,2016/8/18,3814.97,3835,3785,3823.52,190432.8802
1083,2016/8/19,3823.52,3856.57,3806.01,3825,203222.8931
1084,2016/8/20,3825,3903,3816,3874.54,188694.8844
1085,2016/8/21,3874.65,3917.24,3861,3875.24,209160.0872
1086,2016/8/22,3875.28,3937,3868.51,3933,169701.5244
1087,2016/8/23,3933,3943,3848,3849.58,261532.5133
1088,2016/8/24,3849.56,3891.1,3839,3867,170141.8793
1089,2016/8/25,3867,3869,3821,3838.3,157520.3414
1090,2016/8/26,3838.3,3880,3835.1,3864.66,140238.423
1091,2016/8/27,3864.66,3874,3760,3781.66,150994.1067
1092,2016/8/28,3781.85,3840.73,3758,3817.59,154581.5035
1093,2016/8/29,3817.59,3855.5,3813.1,3844.86,129173.8068
1094,2016/8/30,3844.77,3887,3816.76,3860.26,175489.0736
1095,2016/8/31,3860.26,3884.48,3831,3844.15,141908.9875
1096,2016/9/1,3844.23,3865,3822.31,3834.02,148147.3841
1097,2016/9/2,3833.9,3868.1,3813.24,3851.44,137318.8067
1098,2016/9/3,3851.39,3859,3830,3842.74,105732.5725
1099,2016/9/4,3842.74,4135,3839.23,4098.61,360743.116
1100,2016/9/5,4098.29,4135.5,4055,4079.78,295916.3659
1101,2016/9/6,4079.78,4117,4065.02,4092.5,191500.8511
1102,2016/9/7,4092.28,4112,4062,4092.57,191017.9364
1103,2016/9/8,4092.8,4180,4077.99,4164.52,808651.0638
1104,2016/9/9,4164.65,4166.98,4102.16,4128.1,695146.8732
1105,2016/9/10,4128.09,4158.15,4119.97,4140.85,247444.0566
1106,2016/9/11,4140.99,4166.6,4130.1,4151.88,284366.7705
1107,2016/9/12,4151.85,4213.95,3908,4020.85,820379.1037
1108,2016/9/13,4020.85,4054.25,4011,4044.3,344787.8158
1109,2016/9/14,4044.3,4071.72,4035,4056.33,332977.5889
1110,2016/9/15,4056.32,4062.09,4036,4043.12,236054.4614
1111,2016/9/16,4043.12,4062,4015,4044.64,293230.2058
1112,2016/9/17,4044.64,4048.5,4020,4034.55,246554.5607
1113,2016/9/18,4034.57,4086.58,4031,4072.72,661477.7928
1114,2016/9/19,4072.74,4092,4056,4060,955845.8095
1115,2016/9/20,4060,4070.48,4051,4057.65,624204.2822
1116,2016/9/21,4057.65,4065,3890,3971.39,994612.6847
1117,2016/9/22,3971.5,3988.63,3960.51,3976.17,687026.9368
1118,2016/9/23,3976.13,4019,3962.81,4014.22,929610.3984
1119,2016/9/24,4014.24,4028.24,3988.06,4006.5,921341.6719
1120,2016/9/25,4006.39,4020,3972,3982.05,593457.2988
1121,2016/9/26,3982,4060.37,3977,4039.29,1294642.729
1122,2016/9/27,4039.28,4055,4017,4039.91,959579.4155
1123,2016/9/28,4039.84,4076.03,4015,4040.17,835610.2194
1124,2016/9/29,4040.12,4054,4023.5,4041.99,879313.2297
1125,2016/9/30,4041.88,4050,4032.18,4043.65,663659.6203
1126,2016/10/1,4043.65,4115.42,4040.3,4108.69,1156629.042
1127,2016/10/2,4108.69,4111,4075,4079.59,781177.449
1128,2016/10/3,4079.59,4098.56,4078.36,4087.11,476285.0134
1129,2016/10/4,4087.11,4092,4055,4078.6,499425.4
1130,2016/10/5,4078.67,4105,4064.34,4097.09,497942.2473
1131,2016/10/6,4097.09,4105.99,4086.68,4094.44,496064.0095
1132,2016/10/7,4094.44,4134.32,4088.06,4122.95,676813.1592
1133,2016/10/8,4122.99,4141.41,4113.9,4119.67,435318.3094
1134,2016/10/9,4119.79,4128.97,4097,4115.55,592764.4032
1135,2016/10/10,4115.55,4162,4104.5,4131.6,794818.239
1136,2016/10/11,4131.43,4330,4131.35,4289,1477316.404
1137,2016/10/12,4288.9,4366,4285.1,4311.13,1696412.041
1138,2016/10/13,4311.22,4325,4286.23,4310.97,1314927.316
1139,2016/10/14,4310.93,4343.43,4286.15,4316.33,936073.9683
1140,2016/10/15,4316.34,4340,4314,4327.45,762084.0832
1141,2016/10/16,4327.44,4364,4295,4335.5,782025.9793
1142,2016/10/17,4335.5,4350,4325.1,4334.82,533630.9684
1143,2016/10/18,4334.82,4346.96,4316,4329.33,996626.5783
1144,2016/10/19,4329.48,4333.99,4222.2,4238.8,1228297.882
1145,2016/10/20,4238.72,4272.55,4228,4259.25,989994.7981
1146,2016/10/21,4259.45,4295,4247.55,4288.37,672675.0054
1147,2016/10/22,4288.31,4555,4286.86,4496.68,1675217.574
1148,2016/10/23,4496.72,4575,4471,4516.39,2169418.797
1149,2016/10/24,4516.53,4520,4455.08,4482.21,1799793.256
1150,2016/10/25,4482.3,4536,4465,4518.66,1156616.972
1151,2016/10/26,4518.77,4620,4465,4588.04,2204220.437
1152,2016/10/27,4588.04,4745,4573,4691,2969574.038
1153,2016/10/28,4690.99,4739.13,4673,4710,2040791.412
1154,2016/10/29,4709.98,4919.96,4689.1,4861.62,2694575.858
1155,2016/10/30,4861.61,4956,4730.38,4879,3090091.862
1156,2016/10/31,4879,4888,4691.31,4856.23,2858493.377
1157,2016/11/1,4856.04,5065,4801.3,5008.41,2737602.033
1158,2016/11/2,5008.41,5050,4930,4965.71,1360062.68
1159,2016/11/3,4965.95,5150,4810,4885.73,4537356.924
1160,2016/11/4,4885.73,4910,4531,4671.34,2112547.491
1161,2016/11/5,4671.34,4775,4610,4722.61,957208.3405
1162,2016/11/6,4722.83,4845,4705.95,4740.53,1087539.117
1163,2016/11/7,4740.9,4831,4713.2,4775.05,1417898.963
1164,2016/11/8,4775.05,4878,4750.49,4828.23,1174329.408
1165,2016/11/9,4828.65,4993,4823,4926,1813210.061
1166,2016/11/10,4925.99,4962.03,4865,4883.14,1254275.368
1167,2016/11/11,4882.86,4946.79,4874,4888.04,1165681.666
1168,2016/11/12,4888.29,4933,4820.1,4844,3196900.526
1169,2016/11/13,4844,4861.5,4662.25,4770.66,1603846.177
1170,2016/11/14,4770.65,4871.43,4770.03,4845.65,1411682.851
1171,2016/11/15,4845.65,4948,4810,4928.74,2718468.341
1172,2016/11/16,4928.6,5250,4916,5199.46,5017735.933
1173,2016/11/17,5199.46,5424.59,5160,5319.36,2946319.492
1174,2016/11/18,5319.36,5359,5202.02,5273.91,1658778.954
1175,2016/11/19,5273.92,5400,5210.74,5293.38,1289591.488
1176,2016/11/20,5293.53,5357.78,5070,5124.99,1672292.632
1177,2016/11/21,5124.99,5177,5003,5159.57,1879468.291
1178,2016/11/22,5159.57,5340,5146,5297.64,1297946.322
1179,2016/11/23,5297.84,5376.99,5188,5224.71,1617423.726
1180,2016/11/24,5224.71,5270,5120,5138.01,1608687.729
1181,2016/11/25,5138.13,5214.64,5110.7,5155,1101153.639
1182,2016/11/26,5155,5212.6,5080,5112.01,901383.2674
1183,2016/11/27,5112.03,5219,5106.01,5184.29,965516.6064
1184,2016/11/28,5184.17,5220,5128.3,5185.99,786230.4837
1185,2016/11/29,5185.99,5196.45,5138,5175,509380.2692
1186,2016/11/30,5175,5280,5140,5232.39,1536776.709
1187,2016/12/1,5232.4,5357.78,5227,5348.27,3336548.847
1188,2016/12/2,5348.18,5530,5318,5438.47,598451.5067
1189,2016/12/3,5438.47,5469.16,5355,5381.67,424361.3635
