date,open,high,low,close,volume,NVT
2016-06-18,4932.17,5072.0,4856.2,5015.89,516389.6728,37.5418547
2016-06-19,5015.89,5165.0,4900.0,5108.84,584662.411,77.75184669
2016-06-20,5108.77,5138.0,4900.0,4961.67,476594.9427,77.75184669
2016-06-21,4961.18,4993.0,4341.48,4463.0,759935.1735,33.55844914
2016-06-22,4463.0,4586.79,4202.23,4273.92,796098.8995,33.55844914
2016-06-23,4272.2,4307.88,3480.0,3665.24,1201694.9,32.21391079
2016-06-24,3665.81,4430.0,3663.0,4227.51,1313692.0559999999,32.21391079
2016-06-25,4228.4,4563.25,4226.0,4471.38,783032.1604,67.15149438
2016-06-26,4471.38,4518.0,4000.0,4064.0,921713.125,67.15149438
2016-06-27,4064.0,4299.0,3978.0,4194.0,834183.5372,49.56566219
2016-06-28,4194.8,4380.0,4155.0,4277.01,747986.8967,49.56566219
2016-06-29,4277.9,4356.0,4153.56,4214.41,644411.7593,50.41716951
2016-06-30,4214.41,4498.0,4214.41,4450.0,718078.3898,50.41716951
2016-07-01,4450.0,4618.88,4432.7,4514.0,759418.2606,54.1628044
2016-07-02,4514.0,4709.3,4491.0,4657.41,689835.8114,54.1628044
2016-07-03,4657.41,4748.65,4313.0,4377.99,878869.4453,68.11451801
2016-07-04,4377.77,4575.0,4310.0,4508.45,839663.6786,68.11451801
2016-07-05,4508.45,4610.0,4433.0,4479.19,671938.5835,53.66408478
2016-07-06,4479.0,4612.0,4467.64,4547.75,588418.4212,53.66408478
2016-07-07,4547.75,4590.15,4210.0,4265.15,792170.2609,47.44258407
2016-07-08,4265.15,4387.88,4062.3,4357.66,750497.0615,47.44258407
2016-07-09,4357.46,4467.0,4313.0,4402.0,666448.6127,72.73557011
2016-07-10,4401.74,4438.65,4168.0,4335.22,638544.2364,72.73557011
2016-07-11,4335.45,4425.0,4303.3,4338.84,485519.3019,61.39840293
2016-07-12,4339.0,4438.0,4325.0,4430.92,380722.01,61.39840293
2016-07-13,4430.92,4525.0,4400.0,4437.9,504403.8767,55.18029299
2016-07-14,4437.9,4453.0,4367.45,4421.63,378996.5573,55.18029299
2016-07-15,4421.63,4474.0,4398.0,4450.14,353691.6489,56.07596039
2016-07-16,4450.14,4477.0,4392.1,4425.76,318524.2832,56.07596039
2016-07-17,4425.76,4476.97,4424.1,4462.0,278428.6345,66.35381435
2016-07-18,4461.92,4599.0,4461.51,4595.5,461850.3691,66.35381435
2016-07-19,4596.92,4597.0,4482.0,4510.38,365919.4272,44.82355814
2016-07-20,4510.38,4530.0,4420.0,4441.91,349058.4916,44.82355814
2016-07-21,4441.91,4464.66,4400.93,4438.85,290901.4029,75.33951729
2016-07-22,4439.34,4475.59,4340.0,4369.2,293295.4629,75.33951729
2016-07-23,4369.29,4394.74,4321.0,4377.36,301203.1719,90.00954234
2016-07-24,4377.35,4419.0,4352.11,4406.0,265920.151,90.00954234
2016-07-25,4406.37,4442.0,4368.0,4391.68,301117.3302,75.84585754
2016-07-26,4391.68,4405.0,4298.0,4342.33,263227.1644,75.84585754
2016-07-27,4342.33,4386.52,4320.0,4377.0,296763.0148,60.96940831
2016-07-28,4377.0,4415.0,4363.0,4388.26,274905.8155,60.96940831
2016-07-29,4388.04,4403.65,4345.0,4381.71,246439.2127,69.40090545
2016-07-30,4381.61,4385.0,4350.0,4370.4,152359.1997,69.40090545
2016-07-31,4370.5,4379.0,4150.0,4202.0,354814.0244,67.44167568
2016-08-01,4201.46,4212.9,4061.0,4141.0,468795.3241,67.44167568
2016-08-02,4141.0,4141.0,3970.0,4003.44,626428.2831,29.89318374
2016-08-03,4003.44,4043.45,3005.0,3622.8,1391623.696,29.89318374
2016-08-04,3622.67,3805.0,3620.0,3717.63,801369.6504,43.43439715
2016-08-05,3717.8,3787.0,3700.0,3772.47,394467.3835,43.43439715
2016-08-06,3772.49,3783.16,3720.0,3754.06,205805.1625,79.50942675
